周	代名也周至也遍也備也今名書義取周普
繳	章畧反
䷡大壯	荘亮反威盛强猛之名鄭云氣力浸強之名王肅云壯盛也廣雅云健也馬云傷也郭璞云今淮南人呼壮為傷坤宫四世卦
而慎禮也	慎或作順義亦通
用罔	罔羅也馬王肅云无
羝羊	音低張云羖羊也廣雅云呉羊曰羝
觸	徐處六反
藩	方袁反徐甫言反下同馬云籬落也
羸律悲反又力追反下同馬云大索也徐力皮反王肅作縲音螺鄭虞作纍蜀才作累張作虆雖復	扶又反
藩決	音宂注下同
大輿	音餘
之輹	音福本又作輻
行不	下孟反
能説	吐活反
喪羊	息浪反注下同
于易	以豉反注下同鄭音亦謂狡易也陸作埸謂壃埸也
險難	如字亦乃旦反
則難	乃旦反
剛長	丁丈反下剛長同
猶與	音預一本作預
